data_area_type,data_area_type_FR,data_area,data_area_FR,entity,entity_FR,attribute,attribute_FR,attribute_data_type,attribute_data_type_FR,attribute_description,attribute_description_FR,NEED
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Advertising Campaign,Campagne publicitaire,Posting Duration,Durée de l'affichage,Number,Nombre,The length of time the ad-posting is posted. The advertisement should specify the deadline by which all applications must be received.,Durée de l'affichage de l'annonce. L'annonce doit préciser la date limite pour présenter une demande. ,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Advertising Campaign,Campagne publicitaire,Advertising Options,Contenu de l'annonce,Text,Texte,"The advertizing option is the locations and media where a posting/ad is advertized. This may include the web (e.g. jobs.gc.ca, monster, etc.), local or national newspapers, or career / job fairs.","Lieux et médias où une annonce est publicisée : sites tels que jobs-emplois.gc.ca et monster.ca, journaux locaux ou nationaux, salons de l'emploi.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Overall Screening Result,Résultat global de la présélection,Text,Texte,Summarization of the initial screening results. It involves an initial determination of the eligibility of applicants based on information provided in an application or available on file to determine which persons will be further considered. Part of the screening may have been done manually and the result of the manual screening is documented. This documentation can be used during the informal discussion (if required).,"Résumé des résultats de la présélection. Détermination initiale de l'admissibilité des candidats à la lumière des renseignements figurant dans la demande d'emploi ou versés aux dossiers, afin de déterminer quelles candidatures seront retenues. Il se peut que la présélection se fasse en partie à la main et les résultats de la présélection manuelle sont documentés. Cette documentation peut être utilisée dans le cadre d'une discussion informelle si une telle discussion a lieu.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Screening Decision,Screening Decision,Code,Code,Assessment of the screening indicating whether the applicant is successful (i.e. a candidate package is now created for the applicant) or not successful.,"Évaluation dans le cadre de la présélection indiquant si le candidat réussit cette étape (c.-à-d.,un dossier du candidat est préparé pour le candidat) ou non.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Overall Assessment Result,Résultat global de l'évaluation,Text,Texte,"Individual assessment results that are collected and consolidated. The consolidated results, with the conditions of employment, the Second Language Evaluation Results, are used to determine those candidates that qualify according to merit and are used in the informal discussion (if required).","Résultats individuels de l'évaluation, qui sont recueillis et regroupés. Les résultats regroupés, avec les conditions d'emploi et les résultats de l'évaluation de langue seconde, servent à déterminer quels candidats répondent aux critères de mérite et, au besoin, sont utilisés dans le cadre des discussions informelles.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Assessment Decision,Décision d'évaluation,Code,Code,Results of the assessment indicating whether the candidate is qualified to be considered for right fit or to be included in a pool.,Résultats de l'évaluation indiquant si le candidat est qualifié pour être pris en considération pour le choix de la bonne personne ou pour être ajouté à un bassin.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Selection Decision,Décision de sélection,Code,Code,Results of the review identifying the candidate(s) that most reflect right fit based on merit criteria. It identifies whether the candidate is selected or not selected.,Résultats de l'examen permettant de choisir le candidat le mieux qualifié en fonction des critères de mérite. Ces résultats permettent de déterminer si l'on choisira ou non le candidat en question.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Selection Rationale,Motif de sélection,Text,Texte,A rationale that is written once the manager selects the candidate that reflects the right fit. It is written using the candidate’s portfolio information and documents how the right fit requirements are met. This rationale triggers the notification process.,Justification écrite du gestionnaire expliquant pourquoi le candidat qu'il a choisi est le bon. Elle comprend le dossier du candidat et des documents prouvant que le candidat satisfait aux exigences. Elle déclenche le processus de notification. ,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Offer Date,Date de l'offre,Date,Date,The date the offer takes effect.,Date à laquelle l'offre prend effet.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Offer Accepted Indicator,Indicateur d'acceptation de l'offre,Indicator,Indicateur,Indicator identifying whether the candidate has accepted or rejected the offer made by the organization.,Code indiquant si le candidat a accepté ou non l'offre de l'organisation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Applicant Evaluation,Évaluation du candidat,Priority Candidate Indicator,Indicateur de candidat bénéficiaire d'un droit de priorité,Indicator,Indicateur,"Indicator identifying a priority candidate. A person with a priority entitlement may be referred to, or may self-identify, at any point in the appointment process, up to the point of the actual appointment, and if qualified, must be appointed in priority to all other persons. Persons with a priority entitlement need to meet the essential qualifications of the position in order to be appointed.","Indicateur de candidat bénéficiaire d'un droit de priorité. Une personne bénéficiaire d'un droit de priorité de nomination peut être présentée ou peut s'identifier comme telle à tout moment du processus de nomination, mais avant la nomination d'une personne; si elle est qualifiée, elle doit être nommée en priorité avant toutes les autres personnes. Les personnes bénéficiaires d'un droit de priorité de nomination doivent posséder les qualifications essentielles du poste à pourvoir afin d'être nommées.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application,Demande,Resume,Curriculum vitae,Text,Texte,Resume of the applicant as provided during the application process.,Curriculum qu'a fourni le candidat dans le cadre de sa demande d'emploi.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application,Demande,Application Supplementary Information,Renseignements supplémentaires sur la demande,Text,Texte,"Application supplementary information as provided during the application process. Since application means may differ from one applicant to another this attribute allows gathering textual information that may vary between applicants. It also includes special accommodation requirements. When provided, they are used throughout the staffing process (duty to accommodate). In most cases this is used where an applicant has requested a special accommodation in terms of language, or a health need.","Renseignements supplémentaires fournis dans le cadre du processus de demande d'emploi. Puisque les modes de demande d'emploi varient d'un candidat à l'autre, cet attribut permet de recueillir des renseignements personnalisés sur le postulant. De plus, il comprend aussi (au besoin) les exigences quant aux mesures d'adaptation à prendre, dont il faut tenir compte tout au long du processus. Dans la plupart des cas, le candidat qui demande des mesures d'adaptation le fait pour des raisons linguistiques ou de santé.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application,Demande,Application Survey Detail,Détails de l'enquête - demande d'emploi,Text,Texte,"If an applicant decides not go through with submitting his/her application, the survey collects information as to why this was the case (i.e. didn’t have the proper education, took too much time to fill out application, missing a skill-set, etc.).","Si le candidat change d'avis et ne postule pas après tout, on procède à une enquête sur les raisons de sa décision : scolarité insuffisante, a pris trop de temps à remplir la demande, compétences manquantes, etc.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application Status,Statut de la demande,Application Status,Statut de la demande,Code,Code,The status of the application.,Statut de la demande.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application Status,Statut de la demande,Application Status Date,Date du statut de la demande,Date,Date,The date the status takes effect.,Date à laquelle le statut prend effet.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Application Status,Statut de la demande,Application Status Reason,Justification du statut de la demande,Code,Code,The reason associated with the status (e.g. reasons associated with an applicant dropping off). The reason will be used to collect staffing process data.,Justification associée au statut de la demande (p. ex. raisons pour lesquelles le candidat s'est retiré). Cette information sera utilisée pour compiler des données sur le processus de dotation.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment Number,Numéro de nomination,Identifier,Identifiant,*Identification information for the appointment.,*Informations d'identification pour la nomination.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment Effective Date,Date d'effet de la nomination,Date,Date,The date on which a particular appointment of an employee is effective.,Date d'effet de la nomination d'un employé(e).,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment Tenure,Durée d'emploi,Code,Code,The employment tenure for the incumbent of the position.,Durée d'emploi du titulaire du poste.,y
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment Incumbency Status,Statut d'emploi du titulaire,Code,Code,The employment status of the incumbent of the position.,Statut d'emploi du titulaire du poste.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment-Assignment Indicator,Indicateur de nomination/affectation de l'employé,Indicator,Indicateur,The legal attachment of an employee to a position.,Lien légal entre un employé et son poste.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment Status Official Language,Nature de la nomination - Langues officielles,Code,Code,"The status of an appointment or a deployment to a position in accordance with the Public Service Official Languages Exclusion Approval Order (PSOLEAO), the Public Service Employment Regulations (PSER), and Treasury Board policies and guidelines.","Nature de la nomination ou mutation au poste en vertu des dispositions du Décret d'exemption concernant les  langues officielles dans la fonction publique, du Règlement sur l'emploi dans la fonction publique et des dispositions des politiques et directives du Conseil du Trésor.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Incumbent Linguistic Status,Situation linguistique du titulaire,Code,Code,The linguistic situation of incumbents of bilingual positions.,Situation linguistique des titulaires de postes bilingues.,y
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Language Requirement Target Date,Date limite pour satisfaire aux exigences linguistiques,Date,Date,"The date by which a unilingual appointee to a non-imperative bilingual position who is not exempted from meeting the language requirements of the position must meet the language requirements of the position. Where applicable, it is set to two years from the appointment effective date.","Date à laquelle un titulaire unilingue, nommé à un poste bilingue de dotation non impérative, qui doit satisfaire aux exigences linguistiques du poste, est censé y satisfaire. Le cas échéant, cette date sera établie à deux ans de la date de la nomination.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Dual Remuneration Indicator,Indicateur de double rémunération,Indicator,Indicateur,"Employees may be in receipt of salary for more than one position in the Public Service. Specific regulations and policies apply to these employees regarding the rate of pay, union dues, pension and insurance plans and leave credits. The indicator specifies whether the employee receives salary for more than one position.","Il se peut que l'employé touche simultanément un salaire pour plus d'un poste à la fonction publique. Des règlements et politiques spéciaux sur le taux de rémunération, les cotisations syndicales, les régimes de pension et d'assurance et les crédits de congé s'appliquent à ces employés. Cet indicateur précise si l'employé touche un salaire pour plusieurs postes.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Dual Employment,Double emploi,Text,Texte,*Indicates whether this is the person's primary or secondary job for this organizational relationship. ,*Indique s'il s'agit de l'emploi principal ou secondaire de la personne dans le cadre de cette relation organisationnelle. ,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment FAA Section 34 Approval Date,Date d'approbation de la nomination - art. 34 de la LGFP,Date,Date,The date the funds for the appointment are committed and approved under the Financial Adminstration Act (FAA) Section 34.,Date à laquelle le financement pour la nomination est engagé et approuvé en vertu de l'article 34 de la Loi sur la gestion des finances publiques.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Salary on Appointment,Salaire à la nomination,Amount,Montant,"Compensation received for the performance of the regular duties of a position or office, exclusive of allowances, special remuneration, overtime or other compensation or gratuities. The salary is established by the relevant pay authority for the classified position. The purpose is to determine the salary (rate of pay) on initial appointment.","Rémunération reçue par l'employé pour s'être acquitté de ses fonctions régulières. Cette rémunération exclut les allocations, la rémunération spéciale, les heures supplémentaires et toute autre rémunération ou gratification. Le salaire est déterminé par le pouvoir de rémunération applicable pour le poste classifié. Cette opération a pour but de déterminer le salaire (taux de rémunération) à la nomination initiale.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Salary Protected Indicator,Indicateur de protection salariale,Indicator,Indicateur,"Indicator specifying whether the employee's salary is protected and may not match the expected basic rate of pay. Salary protection means the rate of pay applicable to the former classification prescribed on the employee's certificate of appointment before a reclassification, a conversion or as a result of work force adjustment. The employee continues to be eligible to receive any salary revisions/increments, various merit increases or any other merit award, based on the provisions specified for this former group and level.","Indicateur précisant que le salaire de l'employé est protégé et qu'il est possible qu'il ne corresponde pas au taux de rémunération de base. La protection salariale désigne le taux de rémunération applicable à l'ancienne classification indiquée au certificat de l'employé avant une reclassification, la transposition d'un poste ou à la suite d'un réaménagement des effectifs. L'employé conserve le droit de recevoir toute révision et augmentation de salaire, les diverses augmentations de traitement au mérite et toute autre prime au mérite selon les dispositions en vigueur pour l'ancien groupe et niveau.",
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Current Step Date,Date de l'étape courante,Date,Date,The date on which the employee is entitled to receive his next statutory increase.,Date à laquelle l'employé a droit de recevoir sa prochaine augmentation statutaire.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Pay Cycle,Cycle de paye,Code,Code,The frequency of issue of the employee's net pay cheque.,Fréquence d'émission des chèques de paie de l'employé.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Current Arrears Indicator,Indicateur courant-arrérages,Indicator,Indicateur,The type of pay that an employee will receive.,Type de paie que recevra l'employé.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Performance Pay Eligibility Indicator,Indicateur d'admissibilité à la rémunération au rendement,Indicator,Indicateur,Indicator specifying if employees are eligible for performance pay. Performance pay is applicable for an employee is appointed to a position for which a performance pay range has been established with the individual progressing through the salary range by a series of variable increases related to the employee's assessed level of performance.,Indicateur précisant si l'employé a le droit à la rémunération au rendement. La rémunération au rendement s'applique à l'employé nommé à un poste pour lequel on a établi une échelle de rémunération au rendement. L'employé reçoit des augmentations de salaire variables liées à son rendement.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Performance Leave Eligibility Indicator,Indicateur d'admissibilité au congé de rendement,Indicator,Indicateur,Indicator specifying if employees are eligible for performance leave.,Indicateur précisant si l'employé a le droit à un congé de rendement.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Appointment End Date,Date de fin de la nomination,Date,Date,The end date of the appointment.,Date de fin de la nomination.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Action *,Action *,Code,Code,*Any action that may affects a employee's compensation rate or status of employment.,*Toute action susceptible d'affecter le taux de rémunération ou le statut d'emploi d'un employé.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Action Reason *,Raison de l'action *,Code,Code,*The reason associated with a particular action.,*La raison associée à une action particulière.,
HR Business Line Data,Données du secteur d'activité RH,"Compensation, Leave & Pension","Rémunération, congés et pensions",Appointment,Nomination,Action Date *,Date de l'action *,Date,Date,*The action date of the action to affect an employee's compensation.,*La date d'action de l'action visant à affecter la rémunération d'un employé.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Scheduled Date,Date prévue de l'évaluation,Date,Date,The date and time the assessment is scheduled for.,Date et heure prévues de l'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Location,Emplacement de l'évaluation,Text,Texte,The location where the assessment is administered.,Emplacement de l'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Date,Date de l'évaluation,Date,Date,The date the assessment is completed (which may be different than the scheduled date).,Date réelle où l'évaluation est effectuée (qui peut ne pas être la date prévue).,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Accommodation Requirement,Mesures d'adaptation à prendre pour l'évaluation,Text,Texte,"Special accommodations that may be required by the candidate enabling the candidate to complete the assessment. It is not necessary for persons to self-identify in order to request accommodation during the appointment process, since accommodation is not limited to designated groups. Accommodation applies to anyone who is protected from discrimination on the grounds specified in the Canadian Human Rights Act (CHRA).","Mesures spéciales qu'on doit prendre pour que le candidat puisse subir son évaluation. Il n'est pas nécessaire que les candidats s'auto-identifient pour demander des mesures d'adaptation durant le processus de nomination puisque ces mesures ne sont pas limitées aux membres de groupes désignés. Les mesures d'adaptation s'appliquent à toute personne protégée contre la discrimination selon les motifs décrits dans la Loi canadienne sur les droits de la personne (LCDP).
",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Language,Langue de l'évaluation,Code,Code,The language in which the assessment is administered.,Langue de l'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Results Detail,Résultats détaillés de l'évaluation,Text,Texte,Assessment detailed results and comments that are compiled and summarized.,Résultats détaillés de l'évaluation et résumé des commentaires compilés.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Score,Note obtenue à l'évaluation,Text,Texte,The score obtained by the candidate for the assessment.,Note obtenue à  l'évaluation par le candidat.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Pass-Fail Indicator,Indicateur échec-réussite pour l'évaluation,Indicator,Indicateur,Indicator identifying whether the person has passed or failed the test.,Indique si l'employé a réussi ou non le test.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Activity,Activité d'évaluation,Assessment Expiry Date,Date d'expiration de l'évaluation,Date,Date,The expiry date of the validity of the assessment results.,Date d'expiration de la validité des résultats de l'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Board Member,Membre du comité d'évaluation,Assessment Board Member Role,Rôle du membre du comité d'évaluation,Code,Code,The role of the person on the selection board.,Rôle du membre du jury de sélection.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Board Member,Membre du comité d'évaluation,Assessment Board Member Status,Statut de membre du comité d'évaluation,Code,Code,The status of the person in the specific role on the selection board. Selection board members may not be employees.,Statut du membre du jury de sélection. Ces membres ne doivent pas être des employés.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,Assessment Tool Name,Nom de l'outil d'évaluation,Text,Texte,The name of the assessment tool.,Nom de l'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,Assessment Tool Type,Type d'outil d'évaluation,Code,Code,The type of assessment tool.,Type d'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,Assessment Tool Description,Description de l'outil d'évaluation,Text,Texte,The description of the assessment tool.,La description de l'outil.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,Assessment Guide,Guide d'évaluation,Text,Texte,"Detailed Information on how a specific test will be conducted such as test duration. For a given staffing process, one assessment guide per tool is created.","Information détaillée sur le test (sa durée, par ex.). Pour un processus de dotation donné, on crée un guide d'évaluation par outil.",
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,Assessment Tool Status,Statut de l'outil d'évaluation,Code,Code,The status of the assessment tool.,Statut de l'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool,Outil d'évaluation,External-Internal Tool Indicator,Indicateur d'outil interne-externe,Indicator,Indicateur,Indicator that identifies whether the tool is obtained from an external supplier or developed internally.,Code indiquant si l'outil provient d'un fournisseur externe ou s'il a été créé à l'interne.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool Repository,Répertoire des outils d'évaluation,Assessment Repository Name,Nom de l'outil d'évaluation,Text,Texte,The name of the assessment repository tool.,Nom de l'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool Repository,Répertoire des outils d'évaluation,Assessment Repository Type,Type d'outil d'évaluation,Code,Code,The type of assessment repository.,Type d'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool Repository,Répertoire des outils d'évaluation,Assessment Repository Description,Description de l'outil d'évaluation,Text,Texte,The description of the assessment repository.,Description de l'outil d'évaluation.,
HR Business Line Data,Données du secteur d'activité RH,Staffing,Dotation,Assessment Tool Repository,Répertoire des outils d'évaluation,Assessment Repository Content,Contenu de l'outil d'évaluation,Text,Texte,The content of the assessment tool. The format of the tool content will vary based on the type of tool.,Contenu de l'outil d'évaluation. Le format du contenu de l'outil dépend du type d'outil.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Award Name,Nom du prix,Text,Texte,The name of the award program.,Nom du programme de prix.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Award Description,Description du prix,Text,Texte,Description of the award available through the program.,Description du prix offert dans le cadre du programme.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Award Selection Criteria,Critères de sélection pour les prix,Text,Texte,Criteria by which winners of the award will be selected.,Critères de sélection des lauréats d'un prix.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Award Eligibility Criteria,Critères d'admissibilité à un prix,Text,Texte,Criteria to determine whether an employee is eligible for nomination for the award.,Critères permettant de déterminer si l'employé est admissible à un prix.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Award Catalogue,Catalogue de prix,Text,Texte,A catalogue of possible awards that can be used to recognize employees.,Catalogue des prix qu'on peut utiliser pour reconnaître les employés méritants.,
HR Business Line Data,Données du secteur d'activité RH,Recognition,Reconnaissance,Award Program,Programme de prix,Nomination Template,Modèle de nomination,Text,Texte,A template used by a nominator to submit a recognition nomination for a colleague or direct report.,Modèle utilisé pour soumettre une nomination pour reconnaître un collègue ou un subordonné direct.,
HR Business Line Data,Données du secteur d'activité RH,Classification,Classification,Bargaining Agent,Agent négociateur,Bargaining Agent Name,Nom de l'agent négociateur,Text,Texte,The name of the bargaining agent organization that is certified by the Public Service Labour Relations Board to represent employees in a bargaining unit.,Nom de l'organisation qui a été accréditée par la Commission des relations de travail dans la fonction publique à titre d'agent négociateur pour représenter les employés au sein d'une unité de négociation.,
Core Support Data,Données de soutien de base,Financial Management,Gestion financière,Budget,Budget,Budget Amount,Montant du budget,Amount,Montant,The amount of the budget item.,Montant du poste budgétaire.,
Core Support Data,Données de soutien de base,Financial Management,Gestion financière,Budget,Budget,Budget Detail,Détails sur le budget,Text,Texte,Information about the budget that can be provided for more details.,Informations sur le budget qui peuvent être données pour fournir plus de détails.,
Core Support Data,Données de soutien de base,Financial Management,Gestion financière,Budget,Budget,Budget Code,Code du budget,Code,Code,The code associated with the type of budget item.,Code associé au type de poste budgétaire.,
Core Support Data,Données de soutien de base,Financial Management,Gestion financière,Budget,Budget,Budget Start Date,Date de début du budget,Date,Date,The first date the budget takes effect.,Date à laquelle le budget entre en vigueur.,
Core Support Data,Données de soutien de base,Financial Management,Gestion financière,Budget,Budget,Budget End Date,Date de fin du budget,Date,Date,The last date of the budget.,Date de fin du budget.,
